packet_id,entity,exposure_basis_usd,remaining_gap,source_form,named_agreement,accession,action,source_uri
adjudication:a6506e15c7f034a3,Broadcom Inc.,30400000000.0,determine collateral scope,8-K_body,credit agreement,000119312525158202,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1730168/000119312525158202/d89787d8k.htm
adjudication:d3e8fa103bb42e7c,SPACE EXPLORATION TECHNOLOGIES CORP,20000000000.0,determine collateral scope,EX-10_exhibit,CREDIT AGREEMENT,000162828026036936,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1181412/000162828026036936/exhibit109-sx1.htm
adjudication:5b09192255b8dfdd,GEORGIA POWER CO,18400000000.0,determine collateral scope,other,Indenture,000004109125000002,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/41091/000004109125000002/gpcforms-32025.htm
adjudication:086f3461253ec2e6,"MiniMed Group, Inc.",18000000000.0,determine recourse and guarantee scope,other,credit agreement,000162828026012865,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/2062583/000162828026012865/minimedgroupincs-1a3.htm
adjudication:6946c2ccd87a8a7e,"MiniMed Group, Inc.",18000000000.0,determine recourse and guarantee scope,other,credit agreement,000162828025058231,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/2062583/000162828025058231/minimedgroupincs-1.htm
adjudication:304cecc858c6a11c,"MiniMed Group, Inc.",18000000000.0,determine recourse and guarantee scope,other,credit agreement,000162828026003281,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/2062583/000162828026003281/minimedgroupincs-1a1.htm
adjudication:668a87fd5f7c5c07,"MiniMed Group, Inc.",18000000000.0,determine recourse and guarantee scope,other,credit agreement,000162828026010862,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/2062583/000162828026010862/minimedgroupincs-1a2.htm
adjudication:8bab928968ffb170,AT&T INC.,17500000000.0,determine collateral scope,EX-10_exhibit,Credit Agreement,000119312525262515,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/732717/000119312525262515/d935272dex102.htm
adjudication:9524997e2b3e6f06,General Motors Co,17000000000.0,determine collateral scope,EX-10_exhibit,CREDIT AGREEMENT,000119312523086956,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1467858/000119312523086956/d826843dex102.htm
adjudication:2ef4bf630fb5911a,"Venture Global, Inc.",16461000000.0,determine collateral scope,EX-10_exhibit,Credit Agreement,000200785526000040,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/2007855/000200785526000040/exhibit107-q12026.htm
adjudication:dae94434b96b51a8,Amcor plc,13800000000.0,determine collateral scope,other,indenture,000110465925068078,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1748790/000110465925068078/tm2520688-1_s4.htm
