packet_id,entity,exposure_basis_usd,source_form,category,accession,source_uri
adjudication:5ea1a60d89f416f3,"Blackstone Real Estate Income Trust, Inc",60000000000.0,other,GENUINE_no_party_in_excerpt,000166297226000055,https://www.sec.gov/Archives/edgar/data/1662972/000166297226000055/breitnavmarch2026a.htm
adjudication:5f3bcb340c99fd49,"Blackstone Real Estate Income Trust, Inc",60000000000.0,other,GENUINE_no_party_in_excerpt,000166297226000055,https://www.sec.gov/Archives/edgar/data/1662972/000166297226000055/breitnavmarch2026a.htm
adjudication:5f572aecf3c38bea,MGM Resorts International,23400000000.0,other,GENUINE_no_party_in_excerpt,000119312526129074,https://www.sec.gov/Archives/edgar/data/789570/000119312526129074/d899213ddef14a.htm
adjudication:cb36e31a47d3cafc,FIFTH THIRD BANCORP,22000000000.0,other,GENUINE_no_party_in_excerpt,000119312526091842,https://www.sec.gov/Archives/edgar/data/35527/000119312526091842/d18278dex992.htm
adjudication:978480b90131ebdc,"BREAD FINANCIAL HOLDINGS, INC.",18084000000.0,other,GENUINE_no_party_in_excerpt,000110121525000130,https://www.sec.gov/Archives/edgar/data/1101215/000110121525000130/exhibit992slides7-24x25.htm
adjudication:42a77007b115ebce,"BREAD FINANCIAL HOLDINGS, INC.",18084000000.0,other,GENUINE_no_party_in_excerpt,000110121525000130,https://www.sec.gov/Archives/edgar/data/1101215/000110121525000130/exhibit992slides7-24x25.htm
adjudication:3b917bbdef5ac8cc,"MiniMed Group, Inc.",18000000000.0,other,RE_EXTRACT_named_party_in_quote,000162828026003281,https://www.sec.gov/Archives/edgar/data/2062583/000162828026003281/minimedgroupincs-1a1.htm
adjudication:5cc2fa2445681386,"MiniMed Group, Inc.",18000000000.0,other,GENUINE_no_party_in_excerpt,000162828025058231,https://www.sec.gov/Archives/edgar/data/2062583/000162828025058231/minimedgroupincs-1.htm
adjudication:8ffba54a8a8339a0,SIMMONS FIRST NATIONAL CORP,17900000000.0,other,GENUINE_no_party_in_excerpt,000119312526159123,https://www.sec.gov/Archives/edgar/data/90498/000119312526159123/d102541dex992.htm
adjudication:36dc7d95c5144fc0,SIMMONS FIRST NATIONAL CORP,17500000000.0,other,GENUINE_no_party_in_excerpt,000119312526016672,https://www.sec.gov/Archives/edgar/data/90498/000119312526016672/d25716dex992.htm
adjudication:35324fd88e2ac41a,"NRG ENERGY, INC.",15700000000.0,other,GENUINE_no_party_in_excerpt,000101387126000010,https://www.sec.gov/Archives/edgar/data/1013871/000101387126000010/nrgq12026ex991.htm
adjudication:b4c609cf97d83f36,BANK OF HAWAII CORP,13500000000.0,other,GENUINE_no_party_in_excerpt,000004619525000034,https://www.sec.gov/Archives/edgar/data/46195/000004619525000034/ex992earningsslides09302.htm
adjudication:5e42a0cc6ea0cb52,"Blackstone Real Estate Income Trust, Inc",12000000000.0,other,GENUINE_no_party_in_excerpt,000166297225000154,https://www.sec.gov/Archives/edgar/data/1662972/000166297225000154/breitnavaugust2025.htm
adjudication:0a5112905bf699d3,"Blackstone Real Estate Income Trust, Inc",12000000000.0,other,GENUINE_no_party_in_excerpt,000166297226000039,https://www.sec.gov/Archives/edgar/data/1662972/000166297226000039/breitnavfebruary2026a.htm
adjudication:fee4f2237f06bd13,"Blackstone Real Estate Income Trust, Inc",12000000000.0,other,GENUINE_no_party_in_excerpt,000166297225000199,https://www.sec.gov/Archives/edgar/data/1662972/000166297225000199/breitnavnovember2025.htm
adjudication:4a18f058e5fca54c,"Blackstone Real Estate Income Trust, Inc",12000000000.0,other,GENUINE_no_party_in_excerpt,000166297226000021,https://www.sec.gov/Archives/edgar/data/1662972/000166297226000021/breitnavjanuary2026.htm
adjudication:0a6dd975a4fb9707,"Blackstone Real Estate Income Trust, Inc",12000000000.0,other,GENUINE_no_party_in_excerpt,000166297226000039,https://www.sec.gov/Archives/edgar/data/1662972/000166297226000039/breitnavfebruary2026a.htm
adjudication:9214c1f306802224,AGREE REALTY CORP,11900000000.0,other,GENUINE_no_party_in_excerpt,000110465925037417,https://www.sec.gov/Archives/edgar/data/917251/000110465925037417/tm2512810d1_ex99-2.htm
adjudication:ba38f858744087ff,ENTERPRISE FINANCIAL SERVICES CORP,11800000000.0,other,GENUINE_no_party_in_excerpt,000102583526000023,https://www.sec.gov/Archives/edgar/data/1025835/000102583526000023/ex991financialstatementsan.htm
adjudication:5298e0af2e61dd00,ENTERPRISE FINANCIAL SERVICES CORP,11500000000.0,other,GENUINE_no_party_in_excerpt,000102583525000205,https://www.sec.gov/Archives/edgar/data/1025835/000102583525000205/ex991financialstatementsan.htm
adjudication:ebd478bd5ca5d47f,AerCap Holdings N.V.,11300000000.0,424B,GENUINE_no_party_in_excerpt,000119312525210071,https://www.sec.gov/Archives/edgar/data/1378789/000119312525210071/d925611d424b3.htm
adjudication:ff29fd7efa3c36e5,"Venture Global, Inc.",11250000000.0,other,GENUINE_no_party_in_excerpt,000200785526000018,https://www.sec.gov/Archives/edgar/data/2007855/000200785526000018/vg-20260313.htm
adjudication:d75ae7195baf7d4f,Broadcom Inc.,11200000000.0,other,GENUINE_no_party_in_excerpt,000119312525200108,https://www.sec.gov/Archives/edgar/data/1730168/000119312525200108/d80277dex991.htm
adjudication:61fae3571d5152f6,CHIMERA INVESTMENT CORP,10600000000.0,424B,GENUINE_no_party_in_excerpt,000119312525198858,https://www.sec.gov/Archives/edgar/data/1409493/000119312525198858/d28997d424b5.htm
adjudication:cd69137389acfbfa,CHIMERA INVESTMENT CORP,10600000000.0,424B,GENUINE_no_party_in_excerpt,000119312525198858,https://www.sec.gov/Archives/edgar/data/1409493/000119312525198858/d28997d424b5.htm
adjudication:1b5290b44a4d4a5f,AMERICAN ELECTRIC POWER CO INC,10000000000.0,424B,GENUINE_no_party_in_excerpt,000000490425000185,https://www.sec.gov/Archives/edgar/data/4904/000000490425000185/a12-2025aep424b5jsds.htm
adjudication:b66e127e652b9df0,AMERICAN ELECTRIC POWER CO INC,10000000000.0,424B,GENUINE_no_party_in_excerpt,000000490425000193,https://www.sec.gov/Archives/edgar/data/4904/000000490425000193/a12-2025aep424b2jsds.htm
adjudication:3694cfd54f65ef05,"ConnectOne Bancorp, Inc.",9600000000.0,424B,GENUINE_no_party_in_excerpt,000110465925049074,https://www.sec.gov/Archives/edgar/data/712771/000110465925049074/tm2514591-1_424b5.htm
adjudication:e0f2aeea6d89b306,"BROWN & BROWN, INC.",9400000000.0,8-K,FETCH_syndicate_roster,000119312525138153,https://www.sec.gov/Archives/edgar/data/79282/000119312525138153/d32630d8k.htm
adjudication:387ee9af29ac624c,"BROWN & BROWN, INC.",9400000000.0,8-K,FETCH_syndicate_roster,000119312525138153,https://www.sec.gov/Archives/edgar/data/79282/000119312525138153/d32630d8k.htm
adjudication:6e6a82b741e5e61c,"NRG ENERGY, INC.",9300000000.0,other,GENUINE_no_party_in_excerpt,000101387126000010,https://www.sec.gov/Archives/edgar/data/1013871/000101387126000010/nrgq12026ex991.htm
adjudication:06d1219875e0d408,Keurig Dr Pepper Inc.,9000000000.0,other,GENUINE_no_party_in_excerpt,000119312526064353,https://www.sec.gov/Archives/edgar/data/1418135/000119312526064353/d897620dex991.htm
adjudication:640a110a2e6b8b57,Keurig Dr Pepper Inc.,9000000000.0,other,GENUINE_no_party_in_excerpt,000119312526064353,https://www.sec.gov/Archives/edgar/data/1418135/000119312526064353/d897620dex991.htm
adjudication:3c64b6215971c7ab,"CoreWeave, Inc.",8500000000.0,other,GENUINE_no_party_in_excerpt,000176962826000129,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000129/ex991.htm
adjudication:acf6b4cf8e1e82e9,Liberty Global Ltd.,8500000000.0,other,GENUINE_no_party_in_excerpt,000157058526000070,https://www.sec.gov/Archives/edgar/data/1570585/000157058526000070/ex991lgq12026pressrelease.htm
adjudication:50a2564356c96626,SIMON PROPERTY GROUP INC.,8500000000.0,other,GENUINE_no_party_in_excerpt,000110465926024152,https://www.sec.gov/Archives/edgar/data/1063761/000110465926024152/tm268081d1_ex99-3.htm
adjudication:3fd9913070df1079,Broadcom Inc.,8000000000.0,other,GENUINE_no_party_in_excerpt,000114036124032566,https://www.sec.gov/Archives/edgar/data/1730168/000114036124032566/ny20032136x1_ex99-1.htm
adjudication:b5d54eb2e19ca749,ATMOS ENERGY CORP,8000000000.0,424B,GENUINE_no_party_in_excerpt,000119312525141133,https://www.sec.gov/Archives/edgar/data/731802/000119312525141133/d71115d424b5.htm
adjudication:e7e1c31885b85333,ATMOS ENERGY CORP,8000000000.0,424B,GENUINE_no_party_in_excerpt,000119312525206900,https://www.sec.gov/Archives/edgar/data/731802/000119312525206900/d872259d424b5.htm
adjudication:459b5fffd0075dfa,"Apollo Global Management, Inc.",7864000000.0,424B,RE_EXTRACT_named_party_in_quote,000119312525175021,https://www.sec.gov/Archives/edgar/data/1858681/000119312525175021/d51293d424b5.htm
adjudication:ee7d138828761569,"MFA FINANCIAL, INC.",7600000000.0,other,GENUINE_no_party_in_excerpt,000110465926055306,https://www.sec.gov/Archives/edgar/data/1055160/000110465926055306/tm2613487d1_ex99-1.htm
adjudication:72e753ba55029729,SIMON PROPERTY GROUP INC.,7500000000.0,other,GENUINE_no_party_in_excerpt,000110465926058646,https://www.sec.gov/Archives/edgar/data/1063761/000110465926058646/tm2611645d2_ex99-1.htm
adjudication:0af89c297c0691cb,"Pinnacle Financial Partners, Inc.",7300000000.0,other,GENUINE_no_party_in_excerpt,000208286626000039,https://www.sec.gov/Archives/edgar/data/2082866/000208286626000039/exhibit992filing_present.htm
adjudication:9a040ca7c86636ac,"MFA FINANCIAL, INC.",6900000000.0,other,GENUINE_no_party_in_excerpt,000110465925107456,https://www.sec.gov/Archives/edgar/data/1055160/000110465925107456/tm2530279d1_ex99-1.htm
adjudication:664e6c33ca557a28,"MFA FINANCIAL, INC.",6900000000.0,other,GENUINE_no_party_in_excerpt,000110465925074532,https://www.sec.gov/Archives/edgar/data/1055160/000110465925074532/tm2522565d1_ex99-1.htm
adjudication:42e6b621b7bb4b09,"MFA FINANCIAL, INC.",6900000000.0,other,GENUINE_no_party_in_excerpt,000110465925044845,https://www.sec.gov/Archives/edgar/data/1055160/000110465925044845/tm2513956d1_ex99-1.htm
adjudication:b9871c9907cd8383,Alibaba Group Holding Ltd,6500000000.0,EX-4_exhibit,GENUINE_no_party_in_excerpt,000119312526231755,https://www.sec.gov/Archives/edgar/data/1577552/000119312526231755/baba-ex4_20.htm
